Ticker,SimFinId,Date,Open,High,Low,Close,Adj. Close,Volume,Shares Outstanding,Returns,SMA_5,SMA_20,Volatility_5,Volatility_20,Volume_Change,RSI_14,Price_Range,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Lower,BB_Width,BB_Position,Momentum_10,Momentum_20,ATR_14,ATR_Ratio,Return_Lag1,Return_Lag2,Return_Lag3,Return_Lag5,Volume_SMA_10,Volume_Ratio,DayOfWeek,Dist_SMA_5,Dist_SMA_20,Target_Binary,Target_Multi
MSFT,59265,2020-04-07,169.59,170.0,163.26,163.49,155.29,62769038,7590000000.0,,,,,,,,0.04122576304361129,0.0,0.0,0.0,,,,,,,,,,,,,,,1,,,1,3
MSFT,59265,2020-04-08,165.67,166.67,163.5,165.13,156.85,48318234,7590000000.0,0.009981216087575717,,,,,-0.23022184918621824,,0.019196996305940697,0.13082621082619994,0.02616524216523999,0.10466096866095995,,,,,,,,,,,,,,,2,,,1,2
MSFT,59265,2020-04-09,166.36,167.37,163.33,165.14,156.85,51431775,7590000000.0,6.055651438552479e-05,,,,,0.06443822015514877,,0.024464091074239993,0.23263220266068174,0.06745863426432834,0.1651735683963534,,,,,,,,,0.009981216087575717,,,,,,3,,,1,2
MSFT,59265,2020-04-13,164.35,165.57,162.3,165.51,157.21,41905264,7590000000.0,0.002238016963166547,,,,,-0.18522617584168544,,0.019757114373753742,0.33925932215879584,0.12181877184322185,0.217440550315574,,,,,,,,,6.055651438552479e-05,0.009981216087575717,,,,,0,,,1,3
MSFT,59265,2020-04-14,169.0,173.75,168.0,173.7,164.99,52874338,7590000000.0,0.04829805729461018,166.594,,,,0.26175885683478817,,0.033103051237766266,1.0722662183791556,0.3119082611504086,0.760357957228747,,,,,,,,,0.002238016963166547,6.055651438552479e-05,0.009981216087575717,,,,1,0.042654597404468315,,0,0
MSFT,59265,2020-04-15,171.2,173.57,169.24,171.88,163.26,40940833,7590000000.0,-0.010533114340264821,168.272,,0.022624051621864472,,-0.22569559168759712,,0.025191994414707843,1.4891546274591576,0.5473575344121584,0.9417970930469992,,,,,,,,,0.04829805729461018,0.002238016963166547,6.055651438552479e-05,,,,2,0.021441475705999836,,1,3
MSFT,59265,2020-04-16,174.3,177.28,172.9,177.04,168.16,50479610,7590000000.0,0.029579136835999865,170.654,,0.02425678630961698,,0.2329893238860088,,0.024740171712607294,2.2104301089040916,0.8799720493105451,1.3304580595935467,,,,,,,,,-0.010533114340264821,0.04829805729461018,0.002238016963166547,0.009981216087575717,,,3,0.037420746070997435,,1,2
MSFT,59265,2020-04-17,179.5,180.0,175.87,178.6,169.64,52765625,7590000000.0,0.008772972699604491,173.346,,0.02330581772978711,,0.04528590850840564,,0.02312430011198206,2.8747863395643094,1.2789349073612981,1.5958514322030113,,,,,,,,,0.029579136835999865,-0.010533114340264821,0.04829805729461018,6.055651438552479e-05,,,4,0.030309323549432873,,0,0
MSFT,59265,2020-04-20,176.63,178.75,174.99,175.06,166.28,36669595,7590000000.0,-0.02001989613810671,175.256,,0.02813786271786339,,-0.30504765176191884,,0.021478350279903982,3.080139097607912,1.639175745410621,1.4409633521972909,,,,,,,,,0.008772972699604491,0.029579136835999865,-0.010533114340264821,0.002238016963166547,,,0,-0.0011183639932441569,,0,0
MSFT,59265,2020-04-21,173.5,173.67,166.11,167.82,159.4,56203749,7590000000.0,-0.04223679586236869,174.07999999999998,,0.027433506235566184,,0.5327071106184837,,0.04504826599928479,2.6283768527975155,1.837015966888,0.7913608859095156,,,,,,,,,-0.02001989613810671,0.008772972699604491,0.029579136835999865,0.04829805729461018,49435806.1,1.1369036622222692,1,-0.03596047794117642,,1,3
MSFT,59265,2020-04-22,171.39,174.0,170.82,173.52,164.81,34651604,7590000000.0,0.033400890076695666,174.40800000000002,,0.03253543083437894,,-0.38346454433137545,,0.018326417704011104,2.699179916233305,2.009448756757061,0.6897311594762443,,,,,0.06134931800110088,,,,-0.04223679586236869,-0.02001989613810671,0.008772972699604491,-0.010533114340264821,46624062.7,0.7432128817894713,2,-0.005091509563781508,,0,0
MSFT,59265,2020-04-23,174.11,175.06,170.91,171.42,162.82,32790804,7590000000.0,-0.012176181047882415,173.284,,0.028798690552557096,,-0.05370025583808469,,0.024209543810523895,2.5563711492245034,2.1188332352505497,0.4375379139739537,,,,,0.03809120087204021,,,,0.033400890076695666,-0.04223679586236869,-0.02001989613810671,0.029579136835999865,45071319.7,0.7275314816220035,3,-0.010756907735278529,,1,3
MSFT,59265,2020-04-24,172.06,174.56,170.71,174.55,165.79,34305320,7583440247.0,0.01809454808030856,172.474,,0.030293602853069014,,0.046187217611376674,,0.02205671727298765,2.665038113542664,2.228074210908973,0.43696390263369134,,,,,0.056981954705098925,,,,-0.012176181047882415,0.033400890076695666,-0.04223679586236869,0.008772972699604491,43358674.2,0.7911985463799075,4,0.012036596820390447,,0,1
MSFT,59265,2020-04-27,176.59,176.9,173.3,174.05,165.32,33194384,7583440247.0,-0.002868619293597077,172.272,,0.029054997373254517,,-0.03238378187406499,,0.020683711577132974,2.6799192039509876,2.318443209517376,0.36147599443361145,,,,,0.051598090749803704,,4.996428571428567,0.028706857635326436,0.01809454808030856,-0.012176181047882415,0.033400890076695666,-0.02001989613810671,42487586.2,0.7812725308457273,0,0.010320887898207603,,0,0
MSFT,59265,2020-04-28,175.59,175.67,169.39,169.81,161.29,34392694,7583440247.0,-0.02466244929923821,172.67,,0.023345045606332125,,0.036099781216003324,56.99115044247786,0.03698250986396562,2.3228041698953916,2.3193154015929793,0.003488768302412293,,,,,-0.022394933793897454,,4.963571428571423,0.029230147980516003,-0.002868619293597077,0.01809454808030856,-0.012176181047882415,-0.04223679586236869,40639421.8,0.8462889597508989,1,-0.01656338680720441,,1,3
MSFT,59265,2020-04-29,173.22,177.68,171.88,177.43,168.53,51286559,7583440247.0,0.043895999977278416,173.452,,0.02701706485523862,,0.4912050507005936,62.01641266119578,0.032688947754043914,2.624405733870134,2.3803334680484105,0.24407226582172337,,,,,0.0322899697463348,,5.298571428571425,0.029862883551662205,-0.02466244929923821,-0.002868619293597077,0.01809454808030856,0.033400890076695666,41673994.4,1.2306609850674646,2,0.022934298826188276,,1,3
MSFT,59265,2020-04-30,180.0,180.4,176.23,179.21,170.22,53875857,7583440247.0,0.009982137619809178,175.01000000000002,,0.025374044178882782,,0.05048687317860412,63.28611898016998,0.023268790804084682,2.9727897998461117,2.498824734407951,0.47396506543816086,,,,,0.012257117035698206,,5.307857142857141,0.029618085725445793,0.043895999977278416,-0.02466244929923821,-0.002868619293597077,-0.012176181047882415,42013619.1,1.2823426820661588,3,0.023998628649791375,,0,0
MSFT,59265,2020-05-01,175.8,178.64,174.01,174.57,165.81,39370474,7583440247.0,-0.026232495218609143,175.01399999999998,,0.028857877813168325,,-0.2692371649883918,57.916812303390415,0.026522311966546346,2.8417198823076717,2.5674037639878953,0.2743161183197764,,,,,-0.0225643896976484,,5.445714285714287,0.03119501796250379,0.009982137619809178,0.043895999977278416,-0.02466244929923821,0.01809454808030856,40674104.0,0.9679493861745547,4,-0.002536939901950635,,1,3
MSFT,59265,2020-05-04,174.49,179.0,173.8,178.84,169.87,30372862,7583440247.0,0.02416574402909161,175.972,,0.03065718644769538,,-0.22853705037942906,54.821763602251416,0.029076269290986292,3.0472722844378666,2.66337746807789,0.3838948163599767,,,,,0.021592596823946097,,5.228571428571428,0.029236029012365397,-0.026232495218609143,0.009982137619809178,0.043895999977278416,-0.002868619293597077,40044430.7,0.7584790561150366,0,0.016298047416634435,,1,3
