Ticker,SimFinId,Date,Open,High,Low,Close,Adj. Close,Volume,Shares Outstanding,Returns,SMA_5,SMA_20,Volatility_5,Volatility_20,Volume_Change,RSI_14,Price_Range,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Lower,BB_Width,BB_Position,Momentum_10,Momentum_20,ATR_14,ATR_Ratio,Return_Lag1,Return_Lag2,Return_Lag3,Return_Lag5,Volume_SMA_10,Volume_Ratio,DayOfWeek,Dist_SMA_5,Dist_SMA_20,Target
TSLA,56317,2020-04-07,36.33,37.67,35.49,36.36,36.36,268796760,2775000000.0,,,,,,,,0.05995599559955995,0.0,0.0,0.0,,,,,,,,,,,,,,,1,,,2
TSLA,56317,2020-04-08,36.95,37.15,35.56,36.59,36.59,189840360,2775000000.0,0.006305709721837388,,,,,-0.29374014776070967,,0.0434544957638698,0.01834757834757994,0.003669515669515988,0.014678062678063953,,,,,,,,,,,,,,,2,,,3
TSLA,56317,2020-04-09,37.47,38.35,37.14,38.2,38.2,204750000,2775000000.0,0.04306053658141408,,,,,0.07853777774125592,,0.031675392670157086,0.160946420889438,0.035124896713500386,0.12582152417593762,,,,,,,,,0.006305709721837388,,,,,,3,,,3
TSLA,56317,2020-04-13,39.34,43.47,38.7,43.4,43.4,337131315,2775000000.0,0.1276239254938295,,,,,0.6465509890109891,,0.1099078341013824,0.6856498283408783,0.16522988303897598,0.5204199453019023,,,,,,,,,0.04306053658141408,0.006305709721837388,,,,,0,,,3
TSLA,56317,2020-04-14,46.6,49.46,46.16,47.33,47.33,458647665,2775000000.0,0.0866849028117974,40.376,,,,0.3604421914944329,,0.06972321994506665,1.4024328418331393,0.41267047479780866,0.9897623670353306,,,,,,,,,0.1276239254938295,0.04306053658141408,0.006305709721837388,,,,1,0.17223102833366358,,3
TSLA,56317,2020-04-15,49.47,50.21,47.33,48.66,48.66,353655015,2775000000.0,0.027712993437219936,42.836,,0.04868962745042457,,-0.22891787751715686,,0.05918618988902595,2.0541297003603134,0.7409623199103096,1.313167380450004,,,,,,,,,0.0866849028117974,0.1276239254938295,0.04306053658141408,,,,2,0.13596040713418617,,3
TSLA,56317,2020-04-16,47.8,50.63,47.11,49.68,49.68,309867930,2775000000.0,0.020745100269846883,45.45399999999999,,0.045134883541047985,,-0.12381299046473293,,0.07085346215781005,2.6226770430769264,1.117305264543633,1.5053717785332934,,,,,,,,,0.027712993437219936,0.0866849028117974,0.1276239254938295,0.006305709721837388,,,3,0.09297311567738828,,3
TSLA,56317,2020-04-17,51.49,51.66,49.84,50.26,50.26,196923555,2775000000.0,0.011607094490222845,47.866,,0.050197142300431596,,-0.3644919788891997,,0.03621169916434527,3.08449986665174,1.5107441849652543,1.5737556816864855,,,,,,,,,0.020745100269846883,0.027712993437219936,0.0866849028117974,0.04306053658141408,,,4,0.050014624159110815,,1
TSLA,56317,2020-04-20,48.85,51.04,47.48,49.76,49.76,221198655,2775000000.0,-0.009998083684522156,49.138,,0.036080138526467215,,0.12327169291657358,,0.07154340836012867,3.3712898296616203,1.8828533139045276,1.4884365157570927,,,,,,,,,0.011607094490222845,0.020745100269846883,0.027712993437219936,0.1276239254938295,,,0,0.012658227848101264,,0
TSLA,56317,2020-04-21,48.67,50.22,44.92,45.78,45.78,303136395,2775000000.0,-0.08336413390650325,48.827999999999996,,0.04516883853669753,,0.3704260317496053,,0.1157710790738313,3.2400706858128245,2.154296788286187,1.0857738975266376,,,,,,,,,-0.009998083684522156,0.011607094490222845,0.020745100269846883,0.0866849028117974,284394765.0,1.0659000526961178,1,-0.062423199803391394,,3
