Ticker,SimFinId,Date,Open,High,Low,Close,Adj. Close,Volume,Shares Outstanding,Returns,SMA_5,SMA_20,Volatility_5,Volatility_20,Volume_Change,RSI_14,Price_Range,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Lower,BB_Width,BB_Position,Momentum_10,Momentum_20,ATR_14,ATR_Ratio,Return_Lag1,Return_Lag2,Return_Lag3,Return_Lag5,Volume_SMA_10,Volume_Ratio,DayOfWeek,Dist_SMA_5,Dist_SMA_20,Target_Binary,Target_Multi
GOOG,18,2020-04-07,61.05,61.25,59.11,59.33,58.88,47746580,13679440000.0,,,,,,,,0.03606944210348897,0.0,0.0,0.0,,,,,,,,,,,,,,,1,,,1,3
GOOG,18,2020-04-08,60.33,60.95,59.41,60.51,60.06,39502700,13679440000.0,0.019693560363678142,,,,,-0.17265906793743135,,0.025450338786977462,0.09413105413105427,0.018826210826210856,0.07530484330484341,,,,,,,,,,,,,,,2,,,1,2
GOOG,18,2020-04-09,61.2,61.28,59.84,60.57,60.12,43508420,13679440000.0,0.000991080358625783,,,,,0.10140370151913669,,0.023774145616641863,0.17159406173651348,0.04937978100827138,0.1222142807282421,,,,,,,,,0.019693560363678142,,,,,,3,,,1,2
GOOG,18,2020-04-13,60.46,61.03,59.38,60.88,60.42,34796560,13679440000.0,0.005104992560574559,,,,,-0.20023388576280177,,0.027102496714848857,0.25505830915689387,0.09051548663799588,0.16454282251889799,,,,,,,,,0.000991080358625783,0.019693560363678142,,,,,0,,,1,3
GOOG,18,2020-04-14,62.25,64.1,61.85,63.46,62.99,49407060,13679440000.0,0.041505072601619064,60.95,,,,0.41988345974429664,,0.03545540497951454,0.5233558442109612,0.17708355815258894,0.34627228605837224,,,,,,,,,0.005104992560574559,0.000991080358625783,0.019693560363678142,,,,1,0.041181296144380604,,0,1
GOOG,18,2020-04-15,62.28,64.02,62.02,63.12,62.65,33434060,13679440000.0,-0.00537210961743079,61.708000000000006,,0.01870513657284505,,-0.32329387743371085,,0.031685678073510665,0.7004737894047608,0.28176160440302334,0.41871218500173746,,,,,,,,,0.041505072601619064,0.005104992560574559,0.000991080358625783,,,,2,0.02288196019964983,,1,2
GOOG,18,2020-04-16,63.7,63.95,62.13,63.17,62.7,50361980,13679440000.0,0.000791828372990193,62.239999999999995,,0.018768603053258174,,0.506307639574733,,0.028811144530631633,0.8352474069850402,0.3924587649194267,0.44278864206561347,,,,,,,,,-0.00537210961743079,0.041505072601619064,0.005104992560574559,0.019693560363678142,,,3,0.01494215938303353,,1,3
GOOG,18,2020-04-17,64.24,64.72,63.56,64.16,63.68,38980840,13679440000.0,0.015550458647649963,62.95799999999999,,0.018418322752067423,,-0.22598674635111649,,0.018079800498753067,1.010295142616485,0.5160260404588384,0.49426910215764663,,,,,,,,,0.000791828372990193,-0.00537210961743079,0.041505072601619064,0.000991080358625783,,,4,0.019092093141459474,,0,0
GOOG,18,2020-04-20,63.55,64.08,63.07,63.33,62.86,33909760,13679440000.0,-0.013020813029920114,63.448,,0.021518511927469803,,-0.1300916039777491,,0.015948207800410518,1.069716643266574,0.6267641610203855,0.44295248224618844,,,,,,,,,0.015550458647649963,0.000791828372990193,-0.00537210961743079,0.005104992560574559,,,0,-0.0018597906947421842,,0,0
GOOG,18,2020-04-21,62.35,62.71,60.49,60.82,60.36,43060060,13652404260.0,-0.04044046827912028,62.919999999999995,,0.020707351245594408,,0.26984266476672203,,0.036501150937191695,0.903853526758617,0.6821820341680318,0.22167149259058516,,,,,,,,,-0.013020813029920114,0.015550458647649963,0.000791828372990193,0.041505072601619064,41470802.0,1.0383223357966407,1,-0.03337571519389693,,1,3
