Ticker,SimFinId,Date,Open,High,Low,Close,Adj. Close,Volume,Shares Outstanding,Returns,SMA_5,SMA_20,Volatility_5,Volatility_20,Volume_Change,RSI_14,Price_Range,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Lower,BB_Width,BB_Position,Momentum_10,Momentum_20,ATR_14,ATR_Ratio,Return_Lag1,Return_Lag2,Return_Lag3,Return_Lag5,Volume_SMA_10,Volume_Ratio,DayOfWeek,Dist_SMA_5,Dist_SMA_20,Target
AMZN,62747,2020-04-07,100.86,101.79,99.88,100.58,100.58,102279660,9980000000.0,,,,,,,,0.018989858818850774,0.0,0.0,0.0,,,,,,,,,,,,,,,1,,,3
AMZN,62747,2020-04-08,101.05,102.2,100.56,102.15,102.15,79546260,9980000000.0,0.015488890519812445,,,,,-0.22226706658977946,,0.016054821341164958,0.12524216524217024,0.02504843304843405,0.1001937321937362,,,,,,,,,,,,,,,2,,,1
AMZN,62747,2020-04-09,102.22,102.65,100.88,102.14,102.14,93112340,9980000000.0,-9.790004413330973e-05,,,,,0.1705432788417709,,0.017329156060309478,0.22114138683939188,0.06426702380662562,0.15687436303276625,,,,,,,,,0.015488890519812445,,,,,,3,,,3
AMZN,62747,2020-04-13,102.0,109.0,101.9,108.44,108.44,134334180,9980000000.0,0.05985260341096691,,,,,0.4427108157737203,,0.06547399483585388,0.7963200774145491,0.21067763452821034,0.5856424428863388,,,,,,,,,-9.790004413330973e-05,0.015488890519812445,,,,,0,,,3
AMZN,62747,2020-04-14,110.02,114.6,109.31,114.17,114.17,161743860,9980000000.0,0.05149154105777103,105.49600000000001,,,,0.204040996863196,,0.04633441359376361,1.6949777970684181,0.5075376670362519,1.1874401300321662,,,,,,,,,0.05985260341096691,-9.790004413330973e-05,0.015488890519812445,,,,1,0.08222112686736929,,3
AMZN,62747,2020-04-15,112.88,116.67,112.25,115.38,115.38,137331340,9980000000.0,0.010542463140507446,108.45599999999999,,0.026531792209553654,,-0.15093321007672256,,0.038308198994626466,2.4762625882836318,0.9012826512857279,1.5749799369979038,,,,,,,,,0.05149154105777103,0.05985260341096691,-9.790004413330973e-05,,,,2,0.06384155786678475,,3
AMZN,62747,2020-04-16,117.3,123.05,116.75,120.41,120.41,240764020,9980000000.0,0.04267155707538435,112.10799999999999,,0.026250200490546577,,0.7531615143346013,,0.0523212357777593,3.4614143467766496,1.4133089903839124,2.048105356392737,,,,,,,,,0.010542463140507446,0.05149154105777103,0.05985260341096691,0.015488890519812445,,,3,0.07405359117993371,,0
AMZN,62747,2020-04-17,118.62,120.0,115.8,118.75,118.75,158600200,9980000000.0,-0.013882142989376999,115.42999999999999,,0.030894091017042415,,-0.34126286809798245,,0.035368421052631605,4.061388922840678,1.9429249768752657,2.118463945965412,,,,,,,,,0.04267155707538435,0.010542463140507446,0.05149154105777103,-9.790004413330973e-05,,,4,0.0287620202720264,,2
AMZN,62747,2020-04-20,119.5,122.25,119.3,119.68,119.68,115413880,9980000000.0,0.007801071311416513,117.678,,0.0268867845362346,,-0.27229675624620897,,0.024649064171123017,4.559358873627701,2.466211756225753,2.0931471174019483,,,,,,,,,-0.013882142989376999,0.04267155707538435,0.010542463140507446,0.05985260341096691,,,0,0.01701252570573947,,0
AMZN,62747,2020-04-21,120.83,121.42,113.98,116.41,116.41,149533580,9980000000.0,-0.027703071966017633,118.126,,0.0268213165948488,,0.2956290872466987,,0.06391203504853533,4.636693064430887,2.90030801786678,1.7363850465641066,,,,,,,,,0.007801071311416513,-0.013882142989376999,0.04267155707538435,0.05149154105777103,137265932.0,1.0893713962471037,1,-0.01452686114826548,,3
